Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,EV,EV FQ-1,EV FQ-2,EV FQ-3,EV FQ-4,EV FQ-5,EV FQ-6,EV FQ-7,EV FQ-8,EV FQ-9,EV FQ-10,EV FQ-11,EV FQ-12
6066,"CSC Financial Co., Ltd.",Financials,Capital Markets,Diversified Financials,23.04 B,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1571,Xin Point Holdings Limited,Consumer Discretionary,Auto Components,Automobiles & Components,334.7 M,2022,349.2 M,297 M,285 M,329.2 M,405.7 M,675.1 M,566 M,201.2 M,150.8 M,126.9 M,221.6 M,164 M,140.6 M
2858,Yixin Group Limited,Financials,Consumer Finance,Diversified Financials,847.7 M,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3320,China Resources Pharmaceutical Group Limited,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",5.594 B,2022,15.847 B,12.872 B,12.366 B,12.79 B,12.181 B,13.202 B,11.194 B,11.332 B,9.789 B,7.118 B,11.393 B,11.646 B,10.536 B
1658,"Postal Savings Bank of China Co., Ltd.",Financials,Banks,Banks,59.444 B,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1697,"Shandong International Trust Co., Ltd.",Financials,Capital Markets,Diversified Financials,231.5 M,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1115,Tibet Water Resources Ltd.,Consumer Staples,Beverages,"Food, Beverage & Tobacco",214.7 M,2022,116.1 M,-89.668 M,49.797 M,64.905 M,160.5 M,5.72 M,237.3 M,90.703 M,71.49 M,-152.3 M,122.7 M,278.1 M,524.5 M
1908,C&D International Investment Group Limited,Real Estate,Real Estate Management & Development,Real Estate,5.823 B,2022,17.505 B,11.87 B,11.428 B,11.735 B,8.037 B,7.9 B,8.621 B,9.052 B,7.737 B,7.373 B,4.653 B,5.08 B,5.125 B
8032,Viva China Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,1.665 B,2022,1.44 B,517.3 M,1.221 B,363.5 M,1.342 B,888.4 M,1.934 B,275.7 M,667.7 M,101.5 M,638.1 M,218.7 M,636.5 M
1785,"Chengdu Expressway Co., Ltd.",Industrials,Transportation Infrastructure,Transportation,400.9 M,2022,593.3 M,657.6 M,769.1 M,815 M,777.2 M,743.9 M,773.8 M,634.9 M,671.3 M,726.2 M,671.7 M,333.4 M,360.4 M
6881,"China Galaxy Securities Co., Ltd.",Financials,Capital Markets,Diversified Financials,10.426 B,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1515,China Resources Medical Holdings Company Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,1.333 B,2022,1.062 B,393.9 M,472.9 M,799.8 M,1.047 B,636.5 M,781.6 M,535.4 M,480.1 M,399.2 M,467.4 M,498.2 M,670.8 M
1290,China Huirong Financial Holdings Limited,Financials,Consumer Finance,Diversified Financials,145.8 M,2022,217.5 M,182.8 M,198.6 M,227.9 M,180.6 M,167.9 M,165.1 M,127.3 M,142.9 M,162.5 M,201.4 M,171.9 M,169.3 M
799,IGG Inc,Communication Services,Entertainment,Media,415.5 M,2022,98.674 M,205.4 M,616.8 M,695.5 M,1.185 B,1.057 B,707.8 M,934.4 M,570.7 M,369.3 M,584.8 M,474.8 M,1.083 B
1963,"Bank of Chongqing Co., Ltd.",Financials,Banks,Banks,2.616 B,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1345,Shanghai Pioneer Holding Ltd,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,311.6 M,2022,258.3 M,301.2 M,215.4 M,150.2 M,137.5 M,104 M,118.9 M,128.5 M,97.026 M,28.926 M,36.185 M,51.168 M,84.264 M
1689,Huaxi Holdings Company Limited,Materials,Containers & Packaging,Materials,120.6 M,2022,104.2 M,139.6 M,168.6 M,199.5 M,220.6 M,213.1 M,188.8 M,134.5 M,137.3 M,141.8 M,152.9 M,153.1 M,165.1 M
2799,"China Huarong Asset Management Co., Ltd.",Financials,Capital Markets,Diversified Financials,4.498 B,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1347,Hua Hong Semiconductor Limited,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,5.821 B,2022,6.558 B,5.106 B,5.958 B,7.518 B,7.018 B,7.423 B,7.237 B,7.419 B,4.707 B,4.272 B,1.969 B,2.458 B,1.706 B
1811,"CGN New Energy Holdings Co., Ltd.",Utilities,Independent Power & Renewable Electricity Producers,Utilities,1.377 B,2022,6.953 B,7.041 B,8.03 B,7.901 B,10.07 B,10.141 B,6.567 B,5.908 B,4.656 B,4.525 B,4.235 B,4.301 B,3.38 B
6118,Austar Lifesciences Limited,Healthcare,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences",139.7 M,2022,149 M,168.4 M,949.8 M,1.742 B,909.7 M,319.4 M,383.1 M,212.7 M,250.6 M,276.7 M,315.6 M,304.2 M,300.4 M
1321,China New City Commercial Development Limited,Real Estate,Real Estate Management & Development,Real Estate,256.2 M,2022,707 M,879.2 M,890 M,888.1 M,1.104 B,1.05 B,969.7 M,957.5 M,1.009 B,1.019 B,874.5 M,931.5 M,672 M
2016,"China Zheshang Bank Co., Ltd",Financials,Banks,Banks,7.672 B,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3866,"Bank of Qingdao Co., Ltd.",Financials,Banks,Banks,2.24 B,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1583,Qinqin Foodstuffs Group (Cayman) Company Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",134.7 M,2022,82.344 M,92.214 M,100.9 M,82.57 M,112.9 M,128.7 M,104.8 M,107.5 M,114.7 M,94.19 M,92.045 M,109.1 M,92.904 M
3316,Binjiang Service Group Co. Ltd.,Industrials,Commercial Services & Supplies,Commercial & Professional Services,843.3 M,2022,504.9 M,432 M,642.9 M,574.7 M,575.5 M,581.5 M,1.003 B,509.4 M,345.3 M,406.4 M,299.5 M,269 M,120.4 M
1680,Macau Legend Development Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,240.9 M,2022,537 M,605.9 M,740 M,946.1 M,1.04 B,1.125 B,938.7 M,1.003 B,871.2 M,734.2 M,967.6 M,787.4 M,921.1 M
968,Xinyi Solar Holdings Limited,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,10.148 B,2022,11.327 B,10.19 B,14.566 B,16.521 B,15.355 B,18.504 B,19.38 B,14.842 B,24.253 B,14.725 B,8.938 B,5.782 B,6.827 B
2386,"SINOPEC Engineering (Group) Co., Ltd.",Industrials,Construction & Engineering,Capital Goods,2.144 B,2022,-1.273 B,-781.4 M,-852.7 M,-628 M,-117 M,-54.601 M,361.8 M,-60.144 M,-292.3 M,-566.6 M,-546.1 M,-568.8 M,791.8 M
3613,Beijing Tong Ren Tang Chinese Medicine Company Limited,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",1.446 B,2022,1.195 B,671.1 M,1.09 B,899.7 M,1.221 B,878.6 M,1.17 B,931.5 M,671.1 M,694 M,897.7 M,1.001 B,988.9 M
329,OCI International Holdings Limited,Financials,Capital Markets,Diversified Financials,137.6 M,2022,87.804 M,611.3 M,615.8 M,659.2 M,747.2 M,567.4 M,258.5 M,168.3 M,50.881 M,125.9 M,133.4 M,182.6 M,164.1 M
1911,China Renaissance Holdings Limited,Financials,Capital Markets,Diversified Financials,517.7 M,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1233,Times China Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,230.3 M,2022,7.417 B,7.116 B,6.015 B,8.512 B,7.603 B,8.138 B,7.369 B,7.736 B,8.629 B,8.289 B,9.51 B,8.596 B,8.551 B
1268,China MeiDong Auto Holdings Limited,Consumer Discretionary,Specialty Retail,Retailing,2.869 B,2022,3.283 B,4.886 B,6.354 B,6.173 B,6.76 B,5.739 B,5.06 B,4.771 B,3.173 B,1.937 B,1.655 B,1.168 B,853.5 M
1738,Feishang Anthracite Resources Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,119.6 M,2022,481 M,601.1 M,604.9 M,572.2 M,574.9 M,579.5 M,601.9 M,546.8 M,531.1 M,528.5 M,560.3 M,544.8 M,567.8 M
586,China Conch Venture Holdings Limited,Industrials,Construction & Engineering,Capital Goods,3.27 B,2022,269.5 M,1.465 B,4.752 B,4.891 B,3.753 B,4.816 B,4.692 B,4.801 B,3.986 B,4.85 B,4.402 B,3.623 B,3.012 B
1448,Fu Shou Yuan International Group Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,1.918 B,2022,1.638 B,1.033 B,1.358 B,1.397 B,1.578 B,1.638 B,1.914 B,2.097 B,1.884 B,1.963 B,1.837 B,1.738 B,1.697 B
636,Kerry Logistics Network Limited,Industrials,Air Freight & Logistics,Transportation,2.924 B,2022,3.584 B,4.291 B,5.414 B,4.88 B,6.14 B,6.352 B,4.92 B,4.213 B,3.144 B,3.284 B,3.928 B,3.706 B,3.766 B
1622,Redco Properties Group Limited,Real Estate,Real Estate Management & Development,Real Estate,610.8 M,2022,3.948 B,4.226 B,3.982 B,4.15 B,3.594 B,3.648 B,3.28 B,3.513 B,3.211 B,3.924 B,2.852 B,2.585 B,2.833 B
3369,"Qinhuangdao Port Co., Ltd.",Industrials,Transportation Infrastructure,Transportation,1.903 B,2022,1.586 B,2.122 B,2.193 B,2.172 B,2.221 B,2.103 B,2.222 B,2.19 B,2 B,1.909 B,2.1 B,2.48 B,2.411 B
798,China Electronics Optics Valley Union Holding Company Limited,Real Estate,Real Estate Management & Development,Real Estate,330.9 M,2022,877.1 M,892.9 M,1.014 B,757.2 M,807 M,862.4 M,963.5 M,814.1 M,774.3 M,939.9 M,845.9 M,722.7 M,856.1 M
3698,Huishang Bank Corporation Limited,Financials,Banks,Banks,4.406 B,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1528,Red Star Macalline Group Corporation Ltd.,Real Estate,Real Estate Management & Development,Real Estate,2.879 B,2022,6.46 B,7.879 B,9.95 B,10.376 B,10.483 B,12.427 B,10.877 B,10.504 B,10.244 B,10.149 B,9.184 B,10.206 B,9.759 B
2283,TK Group (Holdings) Limited,Industrials,Machinery,Capital Goods,161.3 M,2022,87.159 M,172.3 M,196.3 M,244.6 M,241.6 M,244.7 M,230.4 M,239.3 M,211.2 M,256.2 M,412.1 M,377.9 M,356 M
3882,Sky Light Holdings Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,155.8 M,2022,150.6 M,11.839 M,13.312 M,15.418 M,13.279 M,12.827 M,15.439 M,17.931 M,20.64 M,17.253 M,31.444 M,27.361 M,26.046 M
2111,Best Pacific International Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,166.9 M,2022,328.8 M,460.9 M,432.4 M,474.7 M,494.4 M,401.8 M,373.2 M,376.3 M,373.1 M,428.1 M,500.4 M,557.6 M,534.8 M
1856,Ernest Borel Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,106.2 M,2022,145.8 M,148.9 M,142.3 M,146.9 M,137.2 M,155.8 M,160.9 M,107.2 M,100.8 M,102.8 M,101.6 M,89.507 M,102.7 M
6198,"Qingdao Port International Co., Ltd.",Industrials,Transportation Infrastructure,Transportation,4.757 B,2022,2.395 B,3.042 B,2.76 B,3.174 B,3.059 B,3.731 B,3.951 B,3.988 B,3.086 B,2.725 B,2.799 B,3.883 B,3.857 B
1478,Q Technology (Group) Company Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,679.1 M,2022,572.1 M,444.5 M,766.6 M,860.1 M,1.532 B,1.703 B,2.247 B,2.204 B,2.143 B,1.456 B,1.607 B,1.367 B,2.017 B
1931,IVD Medical Holding Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,226.1 M,2022,111.2 M,354.8 M,345.4 M,405.7 M,493.7 M,468.4 M,516.8 M,304.9 M,325.5 M,365.8 M,446.1 M,438.1 M,489.7 M
2186,Luye Pharma Group Ltd.,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",1.663 B,2022,2.275 B,1.986 B,2.039 B,2.349 B,3.061 B,3.045 B,2.13 B,2.503 B,2.601 B,2.203 B,2.796 B,2.675 B,2.76 B
1375,"Central China Securities Co., Ltd.",Financials,Capital Markets,Diversified Financials,1.848 B,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
520,"Xiabuxiabu Catering Management (China) Holdings Co., Ltd.",Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,886.7 M,2022,1.017 B,669.2 M,937.4 M,1.155 B,1.268 B,2.33 B,2.622 B,1.482 B,1.225 B,981.6 M,1.466 B,1.484 B,1.361 B
6122,Jilin Jiutai Rural Commercial Bank Corporation Limited,Financials,Banks,Banks,1.416 B,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6169,China YuHua Education Corporation Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,542.2 M,2022,286.9 M,412.1 M,1.063 B,1.848 B,1.95 B,3.496 B,3.007 B,3.377 B,3.372 B,3.427 B,2.685 B,2.126 B,1.498 B
1272,"Datang Environment Industry Group Co., Ltd.",Industrials,Commercial Services & Supplies,Commercial & Professional Services,359.1 M,2022,1.023 B,1.036 B,883.8 M,1.06 B,1.013 B,1.09 B,899.8 M,1.078 B,1.027 B,1.055 B,1.087 B,1.146 B,1.252 B
839,China Education Group Holdings Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,2.493 B,2022,3.392 B,2.676 B,2.699 B,4.957 B,4.768 B,6.351 B,4.405 B,4.405 B,4.509 B,3.774 B,2.944 B,2.733 B,2.911 B
3319,"A-Living Smart City Services Co., Ltd.",Real Estate,Real Estate Management & Development,Real Estate,1.406 B,2022,662.2 M,1.348 B,1.147 B,3.733 B,6.237 B,5.134 B,5.259 B,6.138 B,5.99 B,5.791 B,3.907 B,2.432 B,1.537 B
3309,C-MER Eye Care Holdings Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,753.5 M,2022,735.6 M,692.7 M,974.2 M,1.139 B,1.43 B,761 M,792.3 M,779.4 M,926.3 M,549.6 M,599 M,611.9 M,494.7 M
1183,MECOM Power and Construction Limited,Industrials,Construction & Engineering,Capital Goods,515.9 M,2022,502.9 M,791 M,800.4 M,772.7 M,875.6 M,684.2 M,530.5 M,256.5 M,157 M,181.9 M,147.8 M,98.061 M,144.8 M
1735,Central Holding Group Co. Ltd.,Industrials,Construction & Engineering,Capital Goods,2.298 B,2022,2.295 B,2.02 B,1.256 B,1.228 B,497.4 M,453.3 M,481.9 M,415.3 M,492.8 M,405.2 M,307.2 M,124 M,103.5 M
538,Ajisen (China) Holdings Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,116.8 M,2022,-9.864 M,37.944 M,39.19 M,50.467 M,123.8 M,51.369 M,78.421 M,53.094 M,43.062 M,155.4 M,272.5 M,191.5 M,296.6 M
3337,Anton Oilfield Services Group,Energy,Energy Equipment & Services,Energy,155.1 M,2022,367.4 M,467.1 M,514.2 M,543.3 M,485.3 M,532.4 M,585 M,546.4 M,565.1 M,578.6 M,744.4 M,698.3 M,779.6 M
98,Xingfa Aluminium Holdings Limited,Materials,Metals & Mining,Materials,389.6 M,2022,483.6 M,550.8 M,537.3 M,588.4 M,698.7 M,863.9 M,755 M,528.5 M,531.5 M,558.5 M,530.8 M,484.3 M,632.2 M
2878,Solomon Systech (International) Limited,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,158.9 M,2022,114.8 M,91.352 M,160.2 M,166.9 M,185.7 M,166.8 M,293.9 M,88.491 M,45.148 M,33.794 M,45.033 M,8.074 M,21.409 M
505,Xingye Alloy Materials Group Limited,Industrials,Electrical Equipment,Capital Goods,113.8 M,2022,166.2 M,210.7 M,238.6 M,234.3 M,204.6 M,203.3 M,170.1 M,158.6 M,194.3 M,184.2 M,163.3 M,148.2 M,162.1 M
2319,China Mengniu Dairy Company Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",17.447 B,2022,16.864 B,19.828 B,20.455 B,24.688 B,21.556 B,20.78 B,22.074 B,17.047 B,13.276 B,12.229 B,14.439 B,13.48 B,14.057 B
776,Imperium Technology Group Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,177.9 M,2022,198.1 M,659.4 M,693.6 M,490.8 M,456.1 M,231.6 M,220.7 M,197.4 M,103.7 M,55.88 M,48.8 M,63.176 M,77.869 M
1141,CMBC Capital Holdings Limited,Financials,Capital Markets,Diversified Financials,183.2 M,2022,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3833,"Xinjiang Xinxin Mining Industry Co., Ltd.",Materials,Metals & Mining,Materials,363.2 M,2022,425 M,530.4 M,521.7 M,604.1 M,534.7 M,452.9 M,343.5 M,283.1 M,281 M,300.1 M,376.4 M,415.3 M,390.1 M
354,Chinasoft International Limited,Information Technology,IT Services,Software & Services,2.16 B,2022,1.826 B,1.822 B,3.597 B,4.695 B,4.649 B,2.635 B,3.05 B,1.862 B,1.317 B,1.293 B,1.453 B,1.177 B,1.161 B
257,China Everbright Environment Group Limited,Industrials,Commercial Services & Supplies,Commercial & Professional Services,2.645 B,2022,14.834 B,15.855 B,15.902 B,15.583 B,12.844 B,13.466 B,10.995 B,11.003 B,9.369 B,9.684 B,9.798 B,9.635 B,9.361 B
3639,Yida China Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,113.6 M,2022,2.088 B,2.056 B,2.42 B,2.586 B,2.859 B,2.773 B,3.024 B,3.093 B,2.709 B,2.642 B,2.6 B,2.537 B,2.888 B
1823,Huayu Expressway Group Limited,Industrials,Construction & Engineering,Capital Goods,100.4 M,2022,250.9 M,289.1 M,342.8 M,465.2 M,211.3 M,171.1 M,167.6 M,168 M,166.8 M,165.2 M,182.5 M,179.6 M,186.7 M
580,Sun.King Technology Group Limited,Industrials,Electrical Equipment,Capital Goods,378 M,2022,307.7 M,278.8 M,536.8 M,514.1 M,861.1 M,773.9 M,583.5 M,486.8 M,441.8 M,362 M,206.5 M,207.1 M,199.9 M
285,BYD Electronic (International) Company Limited,Information Technology,Communications Equipment,Technology Hardware & Equipment,6.832 B,2022,6.506 B,4.182 B,7.884 B,7.577 B,14.507 B,13.049 B,11.36 B,10.884 B,4.973 B,3.523 B,4.051 B,3.096 B,2.482 B
853,MicroPort Scientific Corporation,Healthcare,Healthcare Equipment & Supplies,Healthcare Equipment & Services,4.703 B,2022,4.748 B,3.883 B,5.955 B,9.575 B,15.233 B,9.465 B,9.61 B,7.038 B,7.093 B,4.071 B,2.183 B,1.727 B,1.386 B
2198,China Sanjiang Fine Chemicals Company Limited,Materials,Chemicals,Materials,251.7 M,2022,1.436 B,1.108 B,987.5 M,1.017 B,994.1 M,1.068 B,1.067 B,977.1 M,756.7 M,599.2 M,585.3 M,530.4 M,553.9 M
6136,Kangda International Environmental Company Limited,Utilities,Water Utilities,Utilities,136.3 M,2022,1.467 B,1.535 B,1.511 B,1.535 B,1.462 B,1.426 B,1.302 B,1.3 B,1.407 B,1.279 B,1.409 B,1.429 B,1.365 B
127,Chinese Estates Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,602.7 M,2022,584.8 M,408.3 M,466.1 M,332.8 M,824.9 M,-589.1 M,-574.6 M,-861.1 M,-608 M,-966.1 M,-805.3 M,-1.541 B,-759.3 M
199,ITC Properties Group Limited,Real Estate,Real Estate Management & Development,Real Estate,122.1 M,2023,48.338 M,75.623 M,101 M,103.8 M,82.451 M,157.3 M,222.7 M,122 M,140.1 M,147.1 M,161 M,130 M,154.2 M
2322,Hong Kong ChaoShang Group Limited,Industrials,Trading Companies & Distributors,Capital Goods,383.2 M,2023,365.2 M,438.8 M,409.7 M,464.5 M,454 M,513.5 M,516 M,453.7 M,460.8 M,508.6 M,417.9 M,241.3 M,171.3 M
83,Sino Land Company Limited,Real Estate,Real Estate Management & Development,Real Estate,11.009 B,2023,3.163 B,2.236 B,3.878 B,2.304 B,1.834 B,2.401 B,4.238 B,2.748 B,1.867 B,522.3 M,1.384 B,1.213 B,2.629 B
321,Texwinca Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,246.4 M,2023,147.6 M,178.7 M,173.3 M,186.7 M,223.1 M,242.9 M,240.7 M,177.7 M,168.2 M,178.1 M,140.9 M,257 M,198.8 M
335,Upbest Group Limited,Financials,Consumer Finance,Diversified Financials,205 M,2023,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,Johnson Electric Holdings Limited,Consumer Discretionary,Auto Components,Automobiles & Components,1.056 B,2023,1.265 B,1.435 B,1.384 B,2.06 B,1.842 B,2.269 B,2.429 B,2.263 B,2.053 B,1.686 B,1.753 B,2.374 B,1.946 B
241,Alibaba Health Information Technology Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,10.981 B,2023,8.455 B,7.012 B,6.349 B,9.063 B,17.041 B,27.588 B,35.822 B,37.499 B,31.927 B,36.929 B,19.398 B,13.112 B,10.071 B
247,Tsim Sha Tsui Properties Limited,Real Estate,Real Estate Management & Development,Real Estate,5.729 B,2023,12.229 B,10.462 B,9.692 B,9.649 B,9.495 B,9.391 B,12.079 B,12.092 B,9.649 B,9.622 B,8.791 B,8.541 B,10.427 B
855,China Water Affairs Group Limited,Utilities,Water Utilities,Utilities,1.358 B,2023,4.094 B,4.195 B,4.303 B,4.883 B,4.157 B,3.578 B,3.525 B,3.47 B,3.237 B,3.188 B,3.103 B,3.108 B,2.967 B
989,Hua Yin International Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,385.4 M,2023,511.3 M,592.7 M,537.9 M,731.3 M,538 M,552.5 M,622.6 M,653.9 M,491.7 M,353.9 M,367 M,382 M,426.8 M
105,Associated International Hotels Limited,Real Estate,Real Estate Management & Development,Real Estate,429.7 M,2023,389.8 M,496.9 M,536.1 M,543.3 M,569.6 M,608.2 M,596.4 M,596.2 M,598.5 M,658.8 M,716.9 M,806.6 M,957 M
266,Tian Teck Land Limited,Real Estate,Real Estate Management & Development,Real Estate,238.9 M,2023,709.2 M,798.6 M,849.5 M,870.5 M,954.7 M,978.6 M,1.004 B,997.7 M,1.063 B,1.104 B,1.114 B,1.2 B,1.294 B
25,Chevalier International Holdings Limited,Industrials,Industrial Conglomerates,Capital Goods,271.2 M,2023,179.4 M,234.6 M,169.6 M,193.6 M,179.4 M,234.1 M,225.2 M,243.9 M,205.8 M,277 M,308.2 M,390.1 M,453.2 M
1023,Sitoy Group Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,107.6 M,2023,73.402 M,34.269 M,28.945 M,36.348 M,25.677 M,28.227 M,47.996 M,31.266 M,18.794 M,19.461 M,31.875 M,31.247 M,93.984 M
1982,Nameson Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,153.9 M,2023,239.8 M,220.7 M,257.6 M,282.6 M,237.5 M,289.4 M,275.2 M,277.8 M,261.1 M,276.1 M,313.5 M,362.1 M,308.2 M
1469,Get Nice Financial Group Limited,Financials,Capital Markets,Diversified Financials,207 M,2023,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2633,Jacobson Pharma Corporation Limited,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",218.2 M,2023,305.3 M,282.5 M,265.4 M,263.7 M,306.4 M,318.6 M,330.1 M,363.6 M,364.4 M,434.4 M,394.1 M,493 M,365.4 M
1651,Precision Tsugami (China) Corporation Limited,Industrials,Machinery,Capital Goods,385.2 M,2023,297.4 M,396.4 M,337.2 M,375.4 M,442.7 M,487 M,401.6 M,316.2 M,277.3 M,259.3 M,264.2 M,294.7 M,268.7 M
1468,Kingkey Financial International (Holdings) Limited,Financials,Capital Markets,Diversified Financials,1.554 B,2023,1.582 B,500.1 M,502.8 M,591.5 M,606.8 M,617.1 M,392.1 M,186.8 M,185.8 M,203 M,198.4 M,247.2 M,158.3 M
2199,Regina Miracle International (Holdings) Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,461.6 M,2023,833.7 M,1.246 B,1.216 B,1.495 B,905.8 M,915 M,813.8 M,855.3 M,735.3 M,751.9 M,909.3 M,1.15 B,1.181 B
1243,Wang On Properties Limited,Real Estate,Real Estate Management & Development,Real Estate,110.4 M,2023,159.4 M,242 M,327.8 M,471.8 M,444 M,400 M,361.2 M,419.6 M,265.9 M,331.2 M,1.783 B,1.643 B,1.905 B
1929,Chow Tai Fook Jewellery Group Limited,Consumer Discretionary,Specialty Retail,Retailing,19.364 B,2023,21.691 B,20.303 B,20.291 B,20.078 B,20.187 B,23.898 B,17.157 B,14.457 B,15.31 B,11.838 B,9.504 B,11.971 B,9.612 B
2221,New Concepts Holdings Limited,Industrials,Construction & Engineering,Capital Goods,120.7 M,2023,148.6 M,96.728 M,105.8 M,109.8 M,145.3 M,107.9 M,89.193 M,86.579 M,110.5 M,119.1 M,115.4 M,126.9 M,137.3 M
1854,China Wantian Holdings Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,108.4 M,2023,106.7 M,53.65 M,52.612 M,60.617 M,51.202 M,22.451 M,13.857 M,17.633 M,15.145 M,16.283 M,16.928 M,29.616 M,39.444 M
1729,Time Interconnect Technology Limited,Industrials,Electrical Equipment,Capital Goods,421.4 M,2023,499.5 M,504.7 M,407.7 M,295.4 M,222.4 M,220.7 M,222.4 M,202.8 M,49.65 M,56.769 M,45.212 M,82.762 M,87.546 M
1373,International Housewares Retail Company Limited,Consumer Discretionary,Specialty Retail,Retailing,258.6 M,2023,251.6 M,273 M,244.1 M,247.5 M,257.1 M,274.2 M,241.7 M,218.9 M,202.8 M,218.3 M,190.9 M,182.5 M,118.4 M
973,L'Occitane International S.A.,Consumer Staples,Personal Products,Household & Personal Products,3.595 B,2023,3.822 B,5.182 B,5.335 B,6.524 B,5.414 B,5.83 B,4.858 B,4.463 B,3.384 B,3.303 B,3.124 B,4.452 B,3.441 B
8053,Pizu Group Holdings Limited,Industrials,Construction & Engineering,Capital Goods,144.8 M,2023,325.7 M,342.8 M,373.7 M,371.2 M,397.3 M,429 M,446 M,458 M,500.6 M,431.4 M,211.7 M,256.3 M,262.9 M
711,Asia Allied Infrastructure Holdings Limited,Industrials,Construction & Engineering,Capital Goods,118.2 M,2023,303.4 M,286.8 M,292.9 M,312.8 M,293.5 M,314.8 M,278.7 M,258.3 M,289.7 M,324 M,320.2 M,267.1 M,132.8 M
367,Chuang's Consortium International Limited,Real Estate,Real Estate Management & Development,Real Estate,138.5 M,2023,298.3 M,392.3 M,421 M,360.4 M,551.3 M,569.8 M,542.6 M,465.9 M,564.4 M,642.7 M,591.3 M,609.4 M,697.4 M
938,Man Sang International Limited,Real Estate,Real Estate Management & Development,Real Estate,137.7 M,2023,480.1 M,487.2 M,488.3 M,510.5 M,449.3 M,450 M,444.5 M,434.4 M,423.7 M,418.2 M,399.3 M,408.3 M,381.8 M
